Set Id (Dimension Set.Csv),Dim Name 1,Dim Value 1,Dim Name 2,Dim Value 2,Dim Name 3,Dim Value 3,Dim Name 4,Dim Value 4,Dim Name 5,Dim Value 5,Dim Name 6,Dim Value 6,Measure Id (Measure.Csv),Name,Description,Source Name,Value,Result Name,Set Id,Measure Id
30590,ENCTYPE,IS,ADATE,17837,null,null,null,null,null,null,null,null,26,dia_l3_encdate_ym.sas7bdat,null,100K,466,name=COUNT,30590,26
30735,ENCTYPE,IP,ADATE,16406,null,null,null,null,null,null,null,null,26,dia_l3_encdate_ym.sas7bdat,null,100K,"3,274.00",name=COUNT,30735,26
30952,RXAMT,33150,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,1,name=COUNT,30952,37
31097,RXAMT,2408,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,2,name=COUNT,31097,37
31242,RXAMT,899.1,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,2,name=COUNT,31242,37
31387,RXAMT,178,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,6,name=COUNT,31387,37
31532,RXAMT,249,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,1,name=COUNT,31532,37
31677,RXAMT,24480,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,1,name=COUNT,31677,37
31822,RXAMT,16480,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,1,name=COUNT,31822,37
31967,RXAMT,655,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,2,name=COUNT,31967,37
32112,RXAMT,624,null,null,null,null,null,null,null,null,null,null,37,dis_l3_rxamt.sas7bdat,null,100K,13,name=COUNT,32112,37
32519,DDATE,18638,null,null,null,null,null,null,null,null,null,null,58,enc_l3_ddate_y.sas7bdat,null,100K,18,name=COUNT,32519,58
32721,ENCTYPE,IP,ADATE,17136,null,null,null,null,null,null,null,null,70,enc_l3_encdate_ym.sas7bdat,null,100K,627,name=COUNT,32721,70
32866,ENCTYPE,IS,ADATE,16680,null,null,null,null,null,null,null,null,70,enc_l3_encdate_ym.sas7bdat,null,100K,235,name=COUNT,32866,70
33012,ENCTYPE,IP,DDATE,20134,null,null,null,null,null,null,null,null,71,enc_l3_enctype_ddate_y.sas7bdat,null,100K,5,name=COUNT,33012,71
33156,ENCTYPE,IS,DDATE,18111,null,null,null,null,null,null,null,null,72,enc_l3_enctype_ddate_ym.sas7bdat,null,100K,8,name=COUNT,33156,72
33301,ENCTYPE,IP,los,711,null,null,null,null,null,null,null,null,73,enc_l3_enctype_los_nd.sas7bdat,null,100K,1,name=COUNT,33301,73
33446,ENCTYPE,IP,los,4035,null,null,null,null,null,null,null,null,73,enc_l3_enctype_los_nd.sas7bdat,null,100K,1,name=COUNT,33446,73
33591,ENCTYPE,IP,los,182,null,null,null,null,null,null,null,null,73,enc_l3_enctype_los_nd.sas7bdat,null,100K,4,name=COUNT,33591,73
33736,ENCTYPE,IP,los,384,null,null,null,null,null,null,null,null,73,enc_l3_enctype_los_nd.sas7bdat,null,100K,1,name=COUNT,33736,73
33881,ENCTYPE,IP,los,202,ADATE,17532,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,2,name=COUNT,33881,74
34026,ENCTYPE,IS,los,24,ADATE,17898,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,17,name=COUNT,34026,74
34171,ENCTYPE,IP,los,29,ADATE,16802,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,7,name=COUNT,34171,74
34316,ENCTYPE,IS,los,57,ADATE,16253,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,1,name=COUNT,34316,74
34461,ENCTYPE,IS,los,20,ADATE,17532,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,39,name=COUNT,34461,74
34606,ENCTYPE,IS,los,23,ADATE,17898,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,19,name=COUNT,34606,74
34751,ENCTYPE,IP,los,166,ADATE,17532,null,null,null,null,null,null,74,enc_l3_enctype_los_y.sas7bdat,null,100K,2,name=COUNT,34751,74
34896,ENCTYPE,IP,los,13,ADATE,17563,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,2,name=COUNT,34896,75
35041,ENCTYPE,IS,los,4,ADATE,16861,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,15,name=COUNT,35041,75
35186,ENCTYPE,IS,los,10,ADATE,18049,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,3,name=COUNT,35186,75
35331,ENCTYPE,IP,los,28,ADATE,16649,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,1,name=COUNT,35331,75
35476,ENCTYPE,IS,los,4,ADATE,17318,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,10,name=COUNT,35476,75
35621,ENCTYPE,IS,los,2,ADATE,16284,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,103,name=COUNT,35621,75
35766,ENCTYPE,IP,los,125,ADATE,17745,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,2,name=COUNT,35766,75
35911,ENCTYPE,IP,los,1191,ADATE,17806,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,1,name=COUNT,35911,75
36056,ENCTYPE,IS,los,9,ADATE,16741,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,8,name=COUNT,36056,75
36201,ENCTYPE,IP,los,37,ADATE,17563,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,1,name=COUNT,36201,75
36346,ENCTYPE,IP,los,8,ADATE,17167,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,12,name=COUNT,36346,75
36491,ENCTYPE,IS,los,12,ADATE,16618,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,4,name=COUNT,36491,75
36636,ENCTYPE,IS,los,25,ADATE,16468,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,7,name=COUNT,36636,75
36781,ENCTYPE,IP,los,3,ADATE,16284,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,132,name=COUNT,36781,75
36926,ENCTYPE,IP,los,7,ADATE,17776,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,25,name=COUNT,36926,75
37071,ENCTYPE,IS,los,31,ADATE,16892,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,10,name=COUNT,37071,75
37216,ENCTYPE,IP,los,105,ADATE,17806,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,2,name=COUNT,37216,75
37361,ENCTYPE,IP,los,20,ADATE,18049,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,3,name=COUNT,37361,75
37506,ENCTYPE,IS,los,29,ADATE,16983,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,3,name=COUNT,37506,75
37651,ENCTYPE,IS,los,6,ADATE,16345,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,3,name=COUNT,37651,75
37796,ENCTYPE,IP,los,11,ADATE,17745,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,17,name=COUNT,37796,75
37941,ENCTYPE,IS,los,16,ADATE,17653,null,null,null,null,null,null,75,enc_l3_enctype_los_ym.sas7bdat,null,100K,5,name=COUNT,37941,75
