"","dataset","measure_id","name"
"1","phis",2080,"LOS >=3 for >=2% and >=10 Observation cases"
"2","phis",2021,"Reported to Chg based ICU count difference >=3x median"
"3","phis",2098,"Px count with missing px end dates."
"4","phis",2659,"Discharge Hour = Medical Discharge Hour for 100% of cases"
"5","phis",1681,"Zip code last 4 digits missing in >=20% of cases"
"6","phis",2040,"Reported NICU days = 0 for 100% of cases"
"7","phis",1772,"Med discharge hour = physical discharge hour for 100% cases"
"8","phis",1939,"PPx start date missing or invalid rate."
"9","phis",2663,"Px count with Px start date >=3 days before admit date."
"10","phis",1987,"Admit dx is missing for 100% of cases."
"11","phis",2653,"Disposition Expired count = 0 for one month in quarter"
"12","phis",2662,"Discharge Hour = Medical Discharge Hour for 100% of cases"
"13","phis",2138,"SCHIP Flag-Primary = 100% No"
"14","phis",1228,"Encounter duplicate cases (same BN & demographics)"
"15","phis",1278,"Financial data missing rate. (CTC Flag=No and >=.5%)"
"16","phis",2118,"Px end hour is missing for 100% of Px."
"17","phis",1873,"Payer-Tertiary >= 1% unknown."
"18","phis",2624,"POA PDx missing, unknown or invalid for >=15 entries"
"19","phis",1691,"Zip code last 4 digits missing in >=20% of cases"
"20","phis",2103,"Px count with missing px end dates."
"21","phis",1514,"Disposition >= .1% unknown and/or invalid."
"22","phis",1994,"Country code invalid value count"
"23","phis",2166,"Med Disch Hr Ind = default for >99% of cases"
"24","phis",2429,"BW value not consistent w ICD code for >= 5 cases"
"25","phis",1596,"POA All Dx codes exempt by CMS are not assigned POA Exempt"
"26","phis",2650,"Disposition = Hospice expired at home or place unknown"
"27","phis",2023,"Reported ICU flag = No, reported ICU days >= 1 rate"
"28","phis",1526,"Ethnicity is unknown for >=20% of cases."
"29","phis",1559,"Disposition = expired count for medical record number is >1."
"30","phis",1365,"Date of birth after admit date cases."
"31","phis",1019,"Payer-Primary >= 20% Other Payor"
"32","phis",1934,"Px count with Px start date after encounter end date"
"33","phis",1799,"Med discharge hour = physical discharge hour for 100% cases"
"34","phis",2108,"PPx count with missing PPx end dates."
"35","phis",1333,"Billed charges unmapped >$50K or >.2% of billed chgs"
"36","phis",2121,"Px end hour is missing for 100% of Px."
"37","phis",1239,"Abstract charge <=$0 cases. (Cases > 50 and rate >=.5%)"
"38","phis",1930,"Days (max) Px start date after encounter end date (physical)"
"39","phis",2267,"Surgeon entered for <=98% of procedures."
"40","phis",213,"Race entries missing for >=25% of cases."
"41","phis",1562,"Medical Record Number duplicate count (>1 Date of Birth)"
"42","phis",1277,"Financial data missing cases. (CTC Flag=No and >=.5%)"
